Sample,IID,FID,Sex,Wave,PE_total,filtered_gwas
HMDP140,1555,BXD50/RwwJ,F,1,18455154,yes
HMDP141,1556,BXD50/RwwJ,M,1,21585940,yes
HMDP142,1583,BXD50/RwwJ,M,1,24530178,yes
HMDP143,1012,BXD51/RwwJ,F,1,82508,no
HMDP144,897,BXD51/RwwJ,F,1,25629386,yes
HMDP145,1013,BXD51/RwwJ,M,1,23144042,yes
HMDP146,922,BXD51/RwwJ,M,1,25151805,yes
HMDP147,1473,BXD55/RwwJ,M,1,16575698,yes
HMDP148,1474,BXD55/RwwJ,M,1,25201805,yes
HMDP149,556,BXD6/TyJ,F,1,21551336,yes
HMDP150,564,BXD6/TyJ,F,1,26499335,yes
HMDP151,1601,BXD61/RwwJ,F,1,14248712,yes
HMDP152,1602,BXD61/RwwJ,F,1,12005041,yes
HMDP153,1566,BXD61/RwwJ,M,1,20764082,yes
HMDP154,1567,BXD61/RwwJ,M,1,29538102,yes
HMDP155,1301,BXD64/RwwJ,F,1,29736081,yes
HMDP156,1303,BXD64/RwwJ,F,1,22464763,yes
HMDP157,1295,BXD64/RwwJ,M,1,21097948,yes
HMDP158,1108,BXD64/RwwJ,M,1,27070961,yes
HMDP159,1199,BXD66/RwwJ,F,1,11477104,yes
HMDP160,1222,BXD66/RwwJ,F,1,27046061,yes
HMDP161,947,BXD66/RwwJ,M,1,26706030,yes
HMDP162,948,BXD66/RwwJ,M,1,14423671,yes
HMDP163,1098,BXD69/RwwJ,F,1,23937624,yes
HMDP164,985,BXD69/RwwJ,F,1,20102879,yes
HMDP165,1103,BXD69/RwwJ,M,1,29157877,yes
HMDP166,1104,BXD69/RwwJ,M,1,31347201,yes
HMDP167,1359,BXD70/RwwJ,F,1,11425342,yes
HMDP168,1360,BXD70/RwwJ,F,1,19574526,yes
HMDP169,1362,BXD70/RwwJ,M,1,25734179,yes
HMDP170,1363,BXD70/RwwJ,M,1,20307350,yes
HMDP171,1140,BXD73/RwwJ,F,1,8835302,yes
HMDP172,993,BXD73/RwwJ,F,1,909662,no
HMDP173,1633,BXD75/RwwJ,F,1,,
HMDP174,1681,BXD75/RwwJ,F,1,23077866,yes
HMDP175,1641,BXD75/RwwJ,M,1,22475161,yes
HMDP176,1642,BXD75/RwwJ,M,1,21174894,yes
HMDP177,1049,BXD84/RwwJ,M,1,23021701,yes
HMDP178,1124,BXD84/RwwJ,M,1,20881461,yes
HMDP179,1349,BXD87/RwwJ,F,1,12715589,yes
HMDP180,1350,BXD87/RwwJ,F,1,20981985,yes
HMDP181,1351,BXD87/RwwJ,M,1,23419701,yes
HMDP182,1352,BXD87/RwwJ,M,1,18180739,yes
HMDP183,649,BXH19/TyJ,F,1,22089423,yes
HMDP184,819,BXH19/TyJ,F,1,16982229,yes
HMDP185,238,BXH22/KccJ,F,1,24882081,yes
HMDP186,239,BXH22/KccJ,F,1,15369542,yes
HMDP187,828,BXH6/TyJ,F,1,15681431,yes
HMDP188,1035,BXH6/TyJ,F,1,31757632,yes
HMDP189,1038,BXH6/TyJ,M,1,12469309,yes
HMDP190,969,BXH6/TyJ,M,1,22843865,yes
HMDP191,1015,BXH8/TyJ,F,1,129882,no
HMDP192,1016,BXH8/TyJ,F,1,21795157,yes
HMDP193,1018,BXH8/TyJ,M,1,31897775,yes
HMDP194,1019,BXH8/TyJ,M,1,18313806,yes
HMDP195,52,BXH9/TyJ,M,1,12111714,yes
HMDP196,53,BXH9/TyJ,M,1,22729973,yes
HMDP197,1286,C3H/HeJ,F,1,29227430,yes
HMDP198,1304,C3H/HeJ,F,1,10781313,yes
HMDP199,1289,C3H/HeJ,M,1,25633600,yes
HMDP200,1290,C3H/HeJ,M,1,27922183,yes
HMDP201,224,C57BL/6J,F,1,7960109,yes
HMDP202,644,C57BL/6J,F,1,29744312,yes
HMDP203,843,C57BL/6J,M,1,23757599,yes
HMDP204,848,C57BL/6J,M,1,20803994,yes
HMDP205,674,C57BLKS/J,F,1,15563158,yes
HMDP206,911,C57BLKS/J,F,1,13137089,yes
HMDP207,1314,C57BLKS/J,M,1,25544686,yes
HMDP208,1315,C57BLKS/J,M,1,18373065,yes
HMDP209,1709,C57L/J,F,1,27827725,yes
HMDP210,1710,C57L/J,F,1,24011484,yes
HMDP211,1685,C57L/J,M,1,14232431,yes
HMDP212,1719,C57L/J,M,1,34273061,yes
HMDP213,823,C58/J,F,1,18761186,yes
HMDP214,221,C58/J,F,1,27241477,yes
HMDP215,243,C58/J,M,1,20693567,yes
HMDP216,555,C58/J,M,1,17598049,yes
HMDP217,974,CBA/J,F,1,9423972,yes
HMDP218,572,CBA/J,F,1,34751715,yes
HMDP219,573,CBA/J,M,1,25018625,yes
HMDP220,882,CBA/J,M,1,11945313,yes
HMDP221,1264,CE/J,F,1,22945277,yes
HMDP222,1265,CE/J,F,1,29985207,yes
HMDP223,1266,CE/J,F,1,22450124,yes
HMDP224,1263,CE/J,M,1,18015365,yes
HMDP225,618,CXB12/HiAJ,F,1,23861333,yes
HMDP226,877,CXB12/HiAJ,F,1,15805583,yes
HMDP227,878,CXB12/HiAJ,M,1,16257489,yes
HMDP228,904,CXB12/HiAJ,M,1,27547388,yes
HMDP229,688,CXB13/HiAJ,F,1,8242520,yes
HMDP230,937,CXB13/HiAJ,F,1,16355650,yes
HMDP231,943,CXB13/HiAJ,M,1,26754208,yes
HMDP232,973,CXB13/HiAJ,M,1,24112389,yes
HMDP233,32,CXB2/ByJ,F,1,9111360,yes
HMDP234,33,CXB2/ByJ,F,1,11200033,yes
HMDP235,34,CXB2/ByJ,M,1,30617991,yes
HMDP236,35,CXB2/ByJ,M,1,24753613,yes
HMDP237,1510,CXB3/ByJ,F,1,28296000,yes
HMDP238,1523,CXB3/ByJ,F,1,7470214,yes
HMDP239,1514,CXB3/ByJ,M,1,28429401,yes
HMDP240,1515,CXB3/ByJ,M,1,22701159,yes
HMDP241,125,CXB4/ByJ,M,1,10093665,yes
HMDP242,126,CXB4/ByJ,M,1,24820579,yes
HMDP243,1039,CXB6/ByJ,F,1,21090244,yes
HMDP244,1174,CXB6/ByJ,F,1,16360849,yes
HMDP245,1043,CXB6/ByJ,M,1,21161027,yes
HMDP246,1129,CXB6/ByJ,M,1,18507405,yes
HMDP247,485,CXB7/ByJ,M,1,16392572,yes
HMDP248,666,CXB7/ByJ,M,1,31026602,yes
HMDP249,41,DBA/2J,F,1,58158875,yes
HMDP250,48,DBA/2J,F,1,10818325,yes
HMDP251,44,DBA/2J,M,1,18430003,yes
HMDP252,778,DBA/2J,M,1,32942905,yes
HMDP253,19,FVB/NJ,M,1,17198129,yes
HMDP254,26,FVB/NJ,M,1,25321595,yes
HMDP255,1316,I/LnJ,F,1,22349584,yes
HMDP256,1317,I/LnJ,F,1,24618960,yes
